phase,datetime,precision,recall,f1,auc_score
train,2025-08-08 00:20:40.326833,0.4494101203449256,0.8460474969338834,0.5870084861799812,0.64541165511019
test,2025-08-08 00:20:40.373776,0.43883289124668434,0.8300220750551877,0.5741254858411994,0.624482397094379
train,2025-08-08 10:10:19.688936,0.4494101203449256,0.8460474969338834,0.5870084861799812,0.64541165511019
test,2025-08-08 10:10:19.734336,0.43883289124668434,0.8300220750551877,0.5741254858411994,0.624482397094379
