phase,datetime,precision,recall,f1,auc_score
train,2025-08-08 11:40:53.783583,0.4986299493081244,0.649099340110576,0.5640012397334573,0.669279434050392
test,2025-08-08 11:40:53.798058,0.486580618725671,0.635196576624766,0.5510440835266821,0.6483597775566255
test_parameter_tuned,2025-08-08 11:40:54.297465,0.4930002153779884,0.6121957742711955,0.5461703650680029,0.6483597775566255
