fouls_drawn,passes_accurate,dribbles_past,games_rating,passes_total,dribble_success_rate,target_shot_conversion_perc,passes_key,duels_won,tackles_blocks,pass_accuracy_perc,penalty_commited,tackles_interceptions,penalty_won,duels_won_perc,shots_on,shots_total,cards_yellow,fouls_committed,duels_total
10.962452107279697,510.01302681992297,7.430651340996171,7.054602002722692,582.0812260536394,73.97234658314498,84.32140424496748,12.721839080459745,48.3655172413793,2.0850574712643644,85.39742386539623,0.09808429118773959,8.173946360153257,0.17088122605363976,55.399561864308644,6.07586206896551,12.080459770114942,1.5785440613026822,10.58467432950191,94.33563218390809
11.737404580152674,319.57061068702325,8.406870229007636,6.8846556604972635,394.0908396946567,75.00054699225318,88.87309160305354,9.588549618320613,51.38740458015267,3.0503816793893144,79.38936321642353,0.13435114503816786,9.563358778625954,0.14083969465648838,53.82634218146374,4.749618320610686,9.655725190839696,2.039694656488549,12.33931297709924,102.65458015267177
10.532193158953723,150.67303822937558,9.735412474849097,6.7810872829383895,217.32394366197104,73.72195474843805,92.59593273929289,6.283702213279659,49.75653923541247,4.369215291750498,69.19621403951164,0.20221327967806862,10.456740442655935,0.148893360160966,52.30570018911788,3.6056338028169037,6.987927565392354,2.5663983903420524,13.550301810865193,103.58953722334005
9.427672955974842,703.169811320754,6.575471698113204,7.249596663818362,772.3742138364771,73.51608881721752,70.67260656883298,14.795597484276716,44.94968553459119,1.5503144654088077,89.16837051015452,0.05974842767295588,6.641509433962266,0.15723270440251577,56.29490456228468,7.191823899371064,13.619496855345915,1.0597484276729556,8.528301886792452,86.53144654088054
11.935423197492161,348.86583072100314,8.400000000000002,6.769673650247963,424.14545454545447,74.40714648817537,8.364681295715727,8.957993730407527,50.83197492163009,2.8394984326018817,80.34288912876278,0.1304075235109717,9.324137931034484,0.0382445141065829,53.36565787487302,3.475235109717866,8.660815047021945,2.032601880877743,12.090909090909092,102.22695924764889
11.191881918819188,232.70553505534997,9.090774907749076,6.697549799831165,305.3291512915122,74.93520523215176,6.812628126281332,6.947601476014739,50.306273062730625,3.615498154981552,75.06965350123188,0.17047970479704788,10.081918819188187,0.031734317343173044,52.724941922500996,2.7335793357933493,6.956457564575636,2.077490774907749,12.79335793357934,103.03468634686347
11.416203335980937,264.92335186656,8.815726767275613,6.865161086441164,338.48848292295384,74.10392463354825,89.09948371723597,8.729150119142176,51.22160444797458,3.5071485305798236,76.9174042004073,0.15528196981731546,10.026608419380466,0.14733915806195383,53.28259199526097,4.488482922954726,9.013502779984115,2.1945988880063534,12.82843526608419,103.59650516282768
11.642180094786731,412.78988941548175,7.979462875197473,6.806525541297287,488.6935229067928,74.40135546290571,7.1696726347202215,9.851500789889418,50.33254344391785,2.4502369668246473,82.28704211866253,0.13033175355450227,8.69589257503949,0.03791469194312766,53.59121104599755,3.699052132701426,9.325434439178517,1.9360189573459712,11.763033175355451,100.66034755134281
11.517625231910948,290.48732220160787,8.760049474335185,6.734783032538134,363.98392084106354,74.81257221058661,8.515941730227404,8.191094619666046,50.39888682745825,3.2016079158936313,78.24274349901276,0.14656771799628948,9.752628324056895,0.027210884353741138,53.02682129417767,3.3042671614100128,8.14718614718615,2.0321583178726037,12.4100185528757,102.31787260358689
11.377980720446477,439.03703703703627,7.714358193810252,6.984506673142518,512.0045662100448,74.25415041672234,86.12322727162922,11.624048706240462,49.33333333333333,2.4160324708269902,83.57703167413572,0.1308980213089803,8.573820395738208,0.15677321156773186,54.64709904016927,5.569254185692532,11.274479959411456,1.8148148148148142,11.432267884322684,97.14003044140034
10.333333333333336,163.11781609195356,9.356321839080458,6.674661356363942,230.18247126436722,75.67171588208893,8.236350574712638,5.675287356321828,48.62068965517241,4.254310344827589,70.62096606467671,0.16091954022988497,10.142241379310343,0.04454022988505765,52.65865231522795,2.409482758620688,6.0761494252873565,2.251436781609195,12.637931034482762,100.89511494252874
11.523297491039425,486.6057347670246,7.821983273596177,6.874311310951096,563.8590203106326,74.14097869316336,10.348893440291342,11.24731182795699,50.77419354838709,2.183990442054961,84.02609889464318,0.10155316606929501,8.229390681003581,0.05495818399044224,54.13501641977624,4.231780167264038,10.475507765830349,1.9318996415770608,11.321385902031066,100.48387096774194
10.336980306345732,590.0339168490157,7.074398249452956,7.10499773242911,661.8336980306348,74.23518638403824,64.61068563092634,13.614879649890565,47.760393873085334,1.8358862144420074,87.01960006539099,0.08862144420131304,7.901531728665212,0.15754923413566738,55.84469802956087,6.172866520787739,12.58424507658643,1.4179431072210082,9.838074398249443,92.50765864332608
11.606687898089174,376.88335987261144,7.993630573248407,6.93225410267427,450.24323248407626,74.78136986653418,87.70722121120222,10.499999999999993,50.23248407643312,2.6449044585987274,81.67812206848207,0.14291401273885343,9.13734076433121,0.15485668789808904,54.14249478121152,5.11226114649681,10.408837579617831,1.876990445859872,11.976910828025481,99.83837579617834
11.368503118503117,210.9828482328478,9.029106029106028,6.832290898560695,282.72920997920943,74.84797628513287,89.81202356202374,7.655405405405383,51.18035343035343,3.8653846153846088,73.87016910441683,0.16372141372141386,10.364345114345118,0.15904365904365875,52.82550608692677,4.085758835758837,8.065488565488565,2.244282744282744,13.050935550935556,104.67515592515596
